2022-03-07 17:21:39,548 - movie - INFO -가상 브라우저 실행...
2022-03-07 17:21:39,875 - movie - INFO -네이버 영화 랭킹 1 페이지 이동...
2022-03-07 17:21:39,894 - movie - INFO -1. 클라우스영화 제목 클릭... :
2022-03-07 17:21:40,847 - movie - INFO -영화 평점 클릭...
2022-03-07 17:21:40,866 - movie - INFO -영화 제목 수집 : 클라우스
2022-03-07 17:21:40,884 - movie - INFO -iframe 전환
2022-03-07 17:21:52,544 - movie - INFO -256,클라우스
2022-03-07 17:21:52,573 - movie - INFO -257,클라우스
2022-03-07 17:21:52,602 - movie - INFO -258,클라우스
2022-03-07 17:21:52,631 - movie - INFO -259,클라우스
2022-03-07 17:21:52,661 - movie - INFO -260,클라우스
2022-03-07 17:21:52,793 - movie - INFO -다음 페이지 클릭
2022-03-07 17:21:52,828 - movie - INFO -261,클라우스
2022-03-07 17:21:52,857 - movie - INFO -262,클라우스
2022-03-07 17:21:52,887 - movie - INFO -263,클라우스
2022-03-07 17:21:52,917 - movie - INFO -264,클라우스
2022-03-07 17:21:52,947 - movie - INFO -265,클라우스
2022-03-07 17:21:52,976 - movie - INFO -266,클라우스
2022-03-07 17:21:53,008 - movie - INFO -267,클라우스
2022-03-07 17:21:53,039 - movie - INFO -268,클라우스
2022-03-07 17:21:53,086 - movie - INFO -269,클라우스
2022-03-07 17:21:53,115 - movie - INFO -270,클라우스
2022-03-07 17:21:53,251 - movie - INFO -다음 페이지 클릭
2022-03-07 17:21:53,285 - movie - INFO -271,클라우스
2022-03-07 17:21:53,315 - movie - INFO -272,클라우스
2022-03-07 17:21:53,345 - movie - INFO -273,클라우스
2022-03-07 17:21:53,376 - movie - INFO -274,클라우스
2022-03-07 17:21:53,406 - movie - INFO -275,클라우스
2022-03-07 17:21:53,436 - movie - INFO -276,클라우스
2022-03-07 17:21:53,466 - movie - INFO -277,클라우스
2022-03-07 17:21:53,497 - movie - INFO -278,클라우스
2022-03-07 17:21:53,526 - movie - INFO -279,클라우스
2022-03-07 17:21:53,557 - movie - INFO -280,클라우스
2022-03-07 17:21:53,701 - movie - INFO -다음 페이지 클릭
2022-03-07 17:21:53,749 - movie - INFO -281,클라우스
2022-03-07 17:21:53,779 - movie - INFO -282,클라우스
2022-03-07 17:21:53,810 - movie - INFO -283,클라우스
2022-03-07 17:21:53,840 - movie - INFO -284,클라우스
2022-03-07 17:21:53,871 - movie - INFO -285,클라우스
2022-03-07 17:21:53,901 - movie - INFO -286,클라우스
2022-03-07 17:21:53,932 - movie - INFO -287,클라우스
2022-03-07 17:21:53,962 - movie - INFO -288,클라우스
2022-03-07 17:21:53,991 - movie - INFO -289,클라우스
2022-03-07 17:21:54,021 - movie - INFO -290,클라우스
2022-03-07 17:21:54,160 - movie - INFO -다음 페이지 클릭
2022-03-07 17:21:54,209 - movie - INFO -291,클라우스
2022-03-07 17:21:54,243 - movie - INFO -292,클라우스
2022-03-07 17:21:54,272 - movie - INFO -293,클라우스
2022-03-07 17:21:54,301 - movie - INFO -294,클라우스
2022-03-07 17:21:54,332 - movie - INFO -295,클라우스
2022-03-07 17:21:54,362 - movie - INFO -296,클라우스
2022-03-07 17:21:54,391 - movie - INFO -297,클라우스
2022-03-07 17:21:54,421 - movie - INFO -298,클라우스
2022-03-07 17:21:54,450 - movie - INFO -299,클라우스
2022-03-07 17:21:54,481 - movie - INFO -300,클라우스
2022-03-07 17:21:54,617 - movie - INFO -다음 페이지 클릭
2022-03-07 17:21:54,650 - movie - INFO -301,클라우스
2022-03-07 17:21:54,680 - movie - INFO -302,클라우스
2022-03-07 17:21:54,721 - movie - INFO -303,클라우스
2022-03-07 17:21:54,791 - movie - INFO -304,클라우스
2022-03-07 17:21:54,822 - movie - INFO -305,클라우스
2022-03-07 17:21:54,852 - movie - INFO -306,클라우스
2022-03-07 17:21:54,883 - movie - INFO -307,클라우스
2022-03-07 17:21:54,887 - movie - INFO -클라우스 수집완료...
2022-03-07 17:21:54,887 - movie - INFO -다음 페이지 클릭
2022-03-07 17:21:55,065 - movie - INFO -네이버 영화 랭킹 1 페이지 이동...
2022-03-07 17:21:55,082 - movie - INFO -2. 장민호 드라마 최종회영화 제목 클릭... :
2022-03-07 17:21:55,767 - movie - INFO -영화 평점 클릭...
2022-03-07 17:21:55,827 - movie - INFO -영화 제목 수집 : 장민호 드라마 최종회
2022-03-07 17:21:55,847 - movie - INFO -iframe 전환
2022-03-07 17:21:55,883 - movie - INFO -1,장민호 드라마 최종회
2022-03-07 17:21:55,913 - movie - INFO -2,장민호 드라마 최종회
2022-03-07 17:21:55,941 - movie - INFO -3,장민호 드라마 최종회
2022-03-07 17:21:55,971 - movie - INFO -4,장민호 드라마 최종회
2022-03-07 17:21:56,000 - movie - INFO -5,장민호 드라마 최종회
2022-03-07 17:21:56,030 - movie - INFO -6,장민호 드라마 최종회
2022-03-07 17:21:56,059 - movie - INFO -7,장민호 드라마 최종회
2022-03-07 17:21:56,087 - movie - INFO -8,장민호 드라마 최종회
2022-03-07 17:21:56,117 - movie - INFO -9,장민호 드라마 최종회
2022-03-07 17:21:56,146 - movie - INFO -10,장민호 드라마 최종회
2022-03-07 17:21:56,273 - movie - INFO -다음 페이지 클릭
2022-03-07 17:21:56,307 - movie - INFO -11,장민호 드라마 최종회
2022-03-07 17:21:56,336 - movie - INFO -12,장민호 드라마 최종회
2022-03-07 17:21:56,366 - movie - INFO -13,장민호 드라마 최종회
2022-03-07 17:21:56,396 - movie - INFO -14,장민호 드라마 최종회
2022-03-07 17:21:56,425 - movie - INFO -15,장민호 드라마 최종회
2022-03-07 17:21:56,454 - movie - INFO -16,장민호 드라마 최종회
2022-03-07 17:21:56,481 - movie - INFO -17,장민호 드라마 최종회
2022-03-07 17:21:56,511 - movie - INFO -18,장민호 드라마 최종회
2022-03-07 17:21:56,540 - movie - INFO -19,장민호 드라마 최종회
2022-03-07 17:21:56,613 - movie - INFO -20,장민호 드라마 최종회
2022-03-07 17:21:56,757 - movie - INFO -다음 페이지 클릭
2022-03-07 17:21:56,791 - movie - INFO -21,장민호 드라마 최종회
